"","3W_KI/315_3W_ant.csv","3W_KI/379_3W.csv","3W_KI/467_3W_post.csv","3W_KI/493_3W_ant.csv","3W_KI/510_3W_ant.csv","3W_KI/510_3W_post.csv","3W_KI/531_3W_post.csv","3W_WT/314_3W_ant.csv","3W_WT/314_3W_post.csv","3W_WT/368_3W_post.csv","3W_WT/465_3W_ant.csv","3W_WT/492_3W_post.csv","6W_KI/366_6W_post.csv","6W_KI/990_6W_ant.csv","6W_KI/990_6W_post.csv","6W_WT/345_6W_ant.csv","6W_WT/345_6W_post.csv","6W_WT/393_6W.csv","6W_WT/428_6W_post.csv","6W_WT/969_6W_post.csv"
"3W_WT/465_3W_ant.csv",8.39181908962594e-07,9.41803537919837e-42,1.3064062145407e-06,1.36148827467785e-18,5.59467656696677e-05,1.42556764171076e-08,0.0480059285436737,0.365242858664963,0.660940312731835,6.08846306704436e-13,0.968544826267438,0.000838372999295234,2.2064960969459e-10,8.55405522937058e-06,1.57985580018227e-06,4.21290914043304e-07,1.59073465511028e-09,4.34061371147321e-05,5.6327016384472e-09,0.00671289802343134
"3W_WT/492_3W_post.csv",0.590462627091212,1.55431223447522e-14,8.32544503392985e-06,0.0426661261842822,3.27858142856741e-08,0.00556152350355577,0.0162871560883022,5.51264818215991e-06,0.0095197894287764,0.511790645757623,0.000838372999295234,0.996080653091871,0.197876691423741,0.00371748447987885,0.00577963392427527,0.00563101365543617,0.769456318940266,0.445072424028227,0.673583056609592,0.0361140519006116
"6W_KI/366_6W_post.csv",0.00750644409926915,8.94326310411417e-46,2.76473331689861e-20,2.89768209427166e-13,2.75333091732541e-17,8.88178419700125e-16,1.35379488064302e-07,4.25914858936949e-12,9.89534945541326e-05,0.095591673283892,2.2064960969459e-10,0.197876691423741,0.974519982906005,6.55031584528842e-15,5.87011550479133e-11,4.14090983724691e-12,0.0728054919576584,0.000184012045853832,0.0678973111576453,0.0267150865731561
"6W_KI/990_6W_ant.csv",1.04504405129546e-10,7.97087829074172e-09,0.00845198890623466,0.00317986896865996,0.114792544467842,0.0460086439655071,0.209230417351302,0.000385147522690255,0.019064355654744,2.66453525910038e-15,8.55405522937058e-06,0.00371748447987885,6.55031584528842e-15,0.996769569155245,3.08528056658375e-07,0.630261583333396,9.17315474635583e-06,0.0311701464886643,6.39124496659704e-08,3.51282105626183e-08
"6W_KI/990_6W_post.csv",1.72162284428623e-11,5.11075482768068e-19,8.00273178946931e-07,1.74032290578552e-07,3.87334608831225e-12,1.01539978680787e-06,0.0214553996791153,5.61712629965072e-06,0.0176992240686895,1.18440157681476e-08,1.57985580018227e-06,0.00577963392427527,5.87011550479133e-11,3.08528056658375e-07,0.990551044753827,6.73902639208857e-05,0.000117544303281369,3.00505635819626e-07,5.23852866225472e-05,0.00503143552440877
"6W_WT/345_6W_ant.csv",4.71844785465692e-14,1.39662155174136e-07,0.0488272086755033,0.00418569071220798,0.0948317883720236,0.244739107771319,0.203611634655908,8.90068641978825e-05,0.00241163844013537,2.1731061394803e-11,4.21290914043304e-07,0.00563101365543617,4.14090983724691e-12,0.630261583333396,6.73902639208857e-05,0.99726010510903,0.00496049873501347,0.0717043208724012,0.000230826407658813,1.61528893105611e-06
"6W_WT/345_6W_post.csv",0.00160700346394393,5.80406749894171e-35,2.04253822355671e-06,0.00802681054767651,2.28366839937618e-20,0.000141136832982447,0.00141204967044362,1.99840144432528e-14,1.34562898745916e-06,0.494209684893844,1.59073465511028e-09,0.769456318940266,0.0728054919576584,9.17315474635583e-06,0.000117544303281369,0.00496049873501347,0.999454754577137,0.0896244290291074,0.749701163170965,0.0292685801486336
"6W_WT/393_6W.csv",0.000792504334118926,3.54275720829597e-49,8.40249475986266e-06,1.5568897308027e-06,0.0572202178049608,0.0114862049146137,0.0537653842257938,0.00110797494711024,0.0216442021868577,5.82243203384181e-06,4.34061371147321e-05,0.445072424028227,0.000184012045853832,0.0311701464886643,3.00505635819626e-07,0.0717043208724012,0.0896244290291074,0.99998144799917,0.118215216862604,6.85880025124153e-05
"6W_WT/428_6W_post.csv",0.00135197308439228,8.23487230867207e-40,3.43124182067278e-07,0.000964100508935251,1.93784541982961e-20,5.24698246073818e-07,0.000875876470783132,2.14273043752655e-14,2.71201005850319e-05,0.367159839528048,5.6327016384472e-09,0.673583056609592,0.0678973111576453,6.39124496659704e-08,5.23852866225472e-05,0.000230826407658813,0.749701163170965,0.118215216862604,0.998514035614763,0.00231954089816933
"6W_WT/969_6W_post.csv",1.60094160150948e-13,0,3.86854960954253e-06,1.90959470458552e-11,2.41942621910051e-59,2.65787638153991e-06,0.0395681847992037,0.000182110559958759,0.165728312943062,0.000160251479031315,0.00671289802343134,0.0361140519006116,0.0267150865731561,3.51282105626183e-08,0.00503143552440877,1.61528893105611e-06,0.0292685801486336,6.85880025124153e-05,0.00231954089816933,1
